sense,honor,curse,despise,situation,antihuman,roughness,slaughter,strike_support,depression_rate
3.234,3.564,3.319,2.868,2.865,2.217,0.801,0.736,2.947,0.636
2.551,2.601,2.189,1.893,2.334,1.223,1.084,0.68,2.442,0.062
2.418,2.638,2.313,2.183,2.206,1.876,0.484,0.136,2.081,0.174
3.339,3.331,2.922,1.973,2.718,1.549,0.679,0.528,3.157,0.482
2.712,2.375,2.256,1.987,2.257,1.411,0.963,0.661,2.234,0.32
2.908,2.582,2.349,1.861,2.656,1.463,2.115,1.95,2.835,0.675
1.656,1.675,1.414,1.322,1.92,0.994,0.286,0.017,1.474,0.016
1.166,0.853,0.197,0.202,1.661,0.494,0.321,0.284,1.408,0.0
3.034,2.576,2.617,2.276,2.394,1.742,1.041,0.44,2.939,0.554
2.695,2.539,2.419,2.05,2.577,1.707,0.45,0.366,2.297,0.287
2.199,1.9,1.671,1.54,2.184,0.959,0.456,0.168,2.057,0.035
0.773,0.488,0.164,0.068,1.75,0.015,0.234,0.107,1.138,0.024
3.436,3.51,3.125,2.767,2.965,2.182,0.855,0.499,3.303,0.467
2.539,2.409,1.906,1.924,2.382,1.74,0.418,0.146,2.098,0.366
0.517,0.715,0.61,0.684,1.882,0.49,0.103,0.248,1.382,0.0
3.23,3.424,3.346,2.715,2.56,2.066,0.212,0.113,2.788,0.273
3.297,2.471,2.218,2.077,2.319,1.793,0.699,0.377,2.463,0.346
1.852,2.001,1.334,1.508,2.256,1.0,0.366,0.154,2.091,0.075
2.691,2.938,2.701,2.241,2.72,1.358,0.513,0.389,2.789,0.187
2.889,2.838,2.695,2.591,2.627,2.043,0.6,0.242,2.554,0.55
1.498,1.438,1.414,1.258,2.472,1.132,0.473,0.186,1.682,0.324
2.728,2.358,2.165,1.653,2.399,1.333,0.828,0.74,2.779,0.624
0.826,0.726,0.505,0.268,1.828,0.384,0.076,0.025,1.177,0.102
4.0,3.626,2.98,2.77,2.825,2.032,2.394,1.826,2.807,0.692
2.207,1.884,1.468,1.177,2.163,1.068,0.081,0.011,2.154,0.0
1.665,1.729,1.438,1.376,2.192,1.121,0.299,0.196,1.828,0.181
2.464,2.212,1.83,1.652,2.442,1.389,0.503,0.072,2.337,0.039
2.039,2.154,1.943,1.058,2.069,1.037,0.53,0.48,1.655,0.339
2.664,2.828,2.461,2.052,2.485,1.887,1.025,0.807,2.443,0.523
3.149,2.271,2.167,1.694,2.06,1.787,0.824,0.661,2.206,0.56
3.33,3.109,2.642,2.402,2.419,2.324,1.508,0.914,2.547,0.874
1.457,1.137,0.448,0.474,1.902,0.749,0.208,0.157,1.653,0.0
2.244,1.867,1.613,1.565,1.849,1.032,1.087,0.902,2.107,0.252
2.375,2.195,1.928,1.518,2.05,0.988,0.641,0.231,2.083,0.2
1.469,1.351,1.119,1.043,1.887,0.808,0.038,0.0,1.659,0.0
2.499,2.27,1.768,1.55,2.141,0.961,0.613,0.518,2.357,0.335
2.36,1.931,1.43,1.129,2.475,0.79,0.045,0.0,2.321,0.304
2.025,1.871,1.392,1.442,2.354,1.071,0.818,0.837,1.957,0.325
3.81,3.154,2.783,2.45,2.691,1.797,0.545,0.191,2.673,0.407
2.766,2.493,2.232,1.752,2.318,1.162,0.735,0.584,2.332,0.354
2.635,2.822,2.73,2.644,2.635,2.178,1.08,0.664,2.403,0.383
3.3,2.682,2.385,2.047,2.642,1.633,1.314,1.247,2.934,0.331
3.057,2.803,2.741,2.204,2.721,1.679,0.367,0.292,2.712,0.451
3.156,2.858,2.242,2.035,2.859,1.576,0.714,0.304,2.888,0.422
2.278,2.299,2.008,1.565,2.098,0.886,0.195,0.116,1.986,0.031
0.972,0.81,0.544,0.843,1.564,0.509,0.956,0.557,1.223,0.103
2.143,2.144,1.793,1.648,2.216,1.264,0.428,0.279,2.04,0.201
0.247,0.096,0.113,0.0,1.626,0.201,0.0,0.0,1.013,0.0
3.321,2.731,2.385,2.039,2.907,1.369,1.077,0.213,2.387,0.623
2.826,2.383,1.881,1.559,2.554,1.072,0.0,0.0,2.256,0.0
3.201,2.828,2.539,1.829,2.681,1.476,0.139,0.235,2.573,0.522
2.026,1.688,1.294,0.872,1.928,0.286,0.0,0.031,1.947,0.0
1.954,1.72,1.221,1.041,1.855,0.658,0.0,0.065,1.495,0.042
2.455,2.552,1.977,1.898,2.151,1.032,0.481,0.239,2.301,0.284
2.76,2.569,2.121,1.876,2.209,1.003,0.4,0.13,2.531,0.278
