sense,honor,curse,despise,situation,antihuman,roughness,slaughter,strike_support,depression_rate
3.021,3.067,2.621,2.398,2.667,1.956,0.717,0.477,2.586,0.705
2.569,2.469,2.12,1.761,2.465,1.325,1.104,0.949,2.405,0.363
1.717,1.713,1.39,1.335,2.053,0.922,0.25,0.127,2.008,0.19
3.519,3.501,3.255,2.648,2.811,2.186,1.181,0.809,3.047,0.659
2.171,1.738,1.346,1.246,2.238,0.956,0.665,0.404,1.795,0.031
3.554,3.451,3.145,2.757,3.162,2.503,2.165,1.569,3.194,0.628
1.911,1.838,1.423,1.319,2.105,0.99,0.491,0.161,1.896,0.097
1.491,1.052,0.869,0.701,2.019,0.657,0.362,0.159,1.52,0.01
2.934,2.773,2.355,2.123,2.775,1.723,1.331,0.763,2.618,0.333
2.79,2.434,2.18,1.911,2.453,1.321,0.574,0.522,2.339,0.252
2.586,2.512,2.226,1.677,2.381,1.136,0.251,0.22,2.313,0.174
1.192,1.145,0.726,0.655,1.911,0.557,0.243,0.0,1.495,0.085
3.05,2.996,2.6,2.329,3.036,1.907,0.93,0.448,2.746,0.331
3.154,2.931,2.63,2.351,2.719,1.721,0.331,0.296,2.712,0.402
0.221,0.329,0.226,0.351,1.661,0.244,0.167,0.076,1.254,0.0
2.928,2.954,2.401,1.98,2.384,1.586,0.481,0.25,2.539,0.356
3.396,2.96,2.649,2.319,2.642,1.937,0.929,0.447,2.498,0.5
2.799,2.993,2.841,2.383,2.62,1.551,0.525,0.153,2.615,0.369
2.222,2.091,1.992,1.711,2.235,1.244,0.199,0.027,2.216,0.093
2.501,2.423,2.24,1.867,2.173,0.972,0.139,0.0,2.3,0.15
1.278,1.34,1.225,1.127,2.304,0.9,0.395,0.152,1.775,0.317
2.674,2.092,1.775,1.585,2.399,1.368,0.839,0.407,1.971,0.412
0.752,0.633,0.549,0.511,1.852,0.351,0.0,0.0,1.097,0.0
3.909,3.513,3.127,2.522,2.668,2.023,2.531,1.809,3.232,0.561
1.299,1.166,0.683,0.595,1.819,0.591,0.304,0.358,1.703,0.0
2.076,1.654,1.176,1.079,2.034,0.859,0.37,0.2,1.775,0.0
3.641,3.24,3.027,2.654,2.996,1.925,0.628,0.253,2.796,0.559
2.806,2.641,2.309,2.004,2.586,1.931,0.762,0.415,2.287,0.74
2.584,2.717,2.442,2.002,2.442,1.407,0.532,0.321,2.434,0.534
3.758,3.614,3.221,2.762,2.592,2.172,1.462,0.998,3.045,0.55
3.314,3.12,2.796,2.49,2.69,1.785,0.892,0.675,2.808,0.627
1.513,1.461,1.059,1.028,2.229,0.985,0.677,0.581,1.974,0.336
3.438,3.197,2.855,2.372,2.539,1.552,0.999,0.503,2.787,0.388
2.66,2.35,2.173,1.711,2.368,1.392,0.429,0.111,2.293,0.228
1.796,1.899,1.68,1.45,2.1,0.991,0.367,0.369,2.174,0.088
2.616,2.461,2.157,1.983,2.434,1.493,0.817,0.567,2.555,0.109
2.659,2.38,2.088,1.658,2.436,1.128,0.5,0.268,2.402,0.177
2.407,2.174,1.813,1.572,2.309,1.107,0.882,0.622,2.179,0.404
3.658,3.257,2.943,2.414,2.777,1.811,1.302,1.067,2.746,0.67
2.467,2.091,1.702,1.574,2.18,1.074,0.0,0.0,1.872,0.0
2.299,2.237,2.072,1.747,2.505,1.299,0.303,0.29,2.133,0.164
3.158,2.695,2.468,2.15,2.57,1.7,0.863,0.598,2.401,0.546
2.989,2.801,2.535,2.019,2.452,1.448,0.213,0.016,2.537,0.279
3.126,2.636,2.393,2.203,2.626,1.734,1.157,0.591,2.493,0.674
2.056,1.891,1.363,1.195,2.079,1.248,0.772,0.481,1.888,0.195
2.015,2.081,1.773,1.518,2.213,1.348,0.905,0.588,2.245,0.182
1.451,1.291,0.921,0.823,1.818,0.776,0.564,0.358,1.776,0.0
1.041,0.764,0.391,0.207,1.835,0.409,0.0,0.0,1.269,0.0
3.315,3.157,2.86,2.286,2.914,1.724,1.137,0.728,3.056,0.469
2.726,2.805,2.442,2.025,2.526,1.383,0.036,0.0,2.574,0.304
3.098,3.105,2.658,2.287,2.691,2.006,0.459,0.163,2.641,0.376
1.551,1.115,0.74,0.55,1.903,0.41,0.089,0.055,1.263,0.0
1.728,1.645,1.177,0.924,1.889,0.675,0.072,0.138,1.502,0.017
2.77,2.969,2.5,2.172,2.407,1.429,0.331,0.002,2.403,0.428
3.092,2.854,2.565,1.919,2.416,1.24,0.842,0.728,2.789,0.038
2.611,2.294,1.994,1.639,2.544,1.508,0.144,0.047,2.144,0.246
1.568,1.659,1.151,1.015,2.135,0.557,0.15,0.053,1.597,0.0
1.451,1.337,1.073,0.884,2.108,0.736,0.384,0.197,2.003,0.278
0.646,0.563,0.637,0.573,1.785,0.202,0.179,0.119,1.119,0.076
1.769,1.393,1.151,1.107,1.902,0.77,0.528,0.222,1.632,0.046
3.311,2.999,2.907,2.624,2.958,1.987,0.696,0.194,2.721,0.619
2.814,2.595,2.153,1.837,2.535,1.455,0.95,0.469,2.471,0.138
2.152,2.233,2.168,1.862,2.213,1.148,0.562,0.403,2.205,0.174
2.728,2.522,2.105,1.777,2.56,1.42,0.648,0.453,2.128,0.251
0.507,0.411,0.058,0.0,1.463,0.0,0.0,0.0,1.114,0.0
1.394,1.498,1.213,1.088,1.956,0.769,0.07,0.078,1.671,0.123
2.486,2.577,2.131,1.777,2.42,1.58,0.424,0.272,2.412,0.286
1.783,1.614,1.442,1.3,1.905,0.636,0.445,0.193,1.866,0.187
3.354,3.07,2.728,2.382,2.69,1.902,1.128,0.847,2.7,0.342
1.498,1.081,0.759,0.507,1.902,0.41,0.129,0.0,1.21,0.0
2.774,2.641,2.406,2.019,2.509,1.56,0.543,0.465,2.394,0.437
1.862,1.471,1.047,0.864,2.175,0.63,0.0,0.0,1.594,0.0
2.352,2.186,1.924,1.627,2.34,1.258,0.099,0.049,1.79,0.229
1.313,1.098,0.822,0.658,1.851,0.708,0.0,0.0,1.339,0.015
3.385,3.349,2.933,2.611,2.849,2.084,1.282,0.878,2.936,0.576
2.379,2.205,1.803,1.417,2.211,1.057,0.618,0.544,2.123,0.043
1.601,1.456,0.892,0.808,2.015,0.844,0.461,0.284,1.766,0.17
3.005,2.717,2.458,2.101,2.476,1.654,1.166,0.716,2.453,0.279
3.358,3.239,2.851,2.392,2.708,1.998,1.655,1.202,3.041,0.334
1.718,1.444,1.423,1.392,2.25,1.202,0.02,0.042,1.691,0.0
1.115,1.095,0.782,0.723,1.973,0.661,0.356,0.124,1.279,0.077
3.704,3.361,3.072,2.764,2.807,2.024,0.684,0.267,2.869,0.45
2.407,2.335,1.984,1.916,2.495,1.216,0.126,0.0,2.142,0.259
1.575,1.472,1.074,0.969,2.194,0.901,0.396,0.271,1.533,0.012
2.111,1.85,1.588,1.445,2.22,1.186,0.465,0.211,1.933,0.036
2.654,2.584,2.302,1.965,2.456,1.832,0.872,0.549,2.388,0.52
3.132,2.854,2.501,2.162,2.595,1.657,0.88,0.671,2.547,0.654
1.084,0.597,0.394,0.259,1.575,0.11,0.0,0.0,1.053,0.0
3.469,3.297,3.031,2.633,2.875,2.022,0.735,0.423,2.761,0.634
3.127,3.064,2.845,2.449,2.748,1.728,1.001,0.69,2.752,0.612
1.075,1.055,0.663,0.575,1.715,0.519,0.036,0.0,1.549,0.0
3.476,3.25,2.811,2.487,2.807,2.048,1.167,0.474,2.953,0.35
2.737,2.842,2.652,2.134,2.571,1.529,0.556,0.42,2.692,0.401
3.078,2.794,2.457,2.186,2.505,1.85,0.883,0.676,2.339,0.428
3.159,2.972,2.807,2.641,2.74,2.236,1.467,0.876,2.615,0.588
3.118,3.264,2.973,2.835,2.929,2.606,0.214,0.006,2.855,0.71
2.84,2.42,2.005,1.884,2.54,1.518,0.5,0.203,2.365,0.417
3.542,3.511,3.367,2.839,3.058,1.85,0.278,0.022,2.975,0.344
2.474,2.243,2.057,1.692,2.274,1.244,0.368,0.339,1.96,0.293
2.446,2.335,2.166,1.948,2.405,1.571,1.071,0.595,2.296,0.433
3.564,3.313,3.131,2.817,2.806,2.344,0.979,0.684,2.679,0.81
2.687,2.579,2.243,1.933,2.396,1.326,0.408,0.195,2.316,0.11
2.827,2.646,2.303,2.12,2.43,1.523,0.492,0.329,2.21,0.364
2.411,2.424,1.988,1.738,2.286,1.274,0.135,0.0,2.14,0.383
2.467,2.321,2.022,1.715,2.385,1.215,0.559,0.36,2.265,0.144
2.984,2.852,2.417,2.066,2.501,1.515,0.523,0.232,2.363,0.272
3.264,3.015,2.668,2.21,2.582,1.752,0.805,0.679,2.576,0.326
1.971,1.918,1.532,1.173,2.088,0.847,0.319,0.22,2.028,0.0
2.054,1.836,1.183,0.912,2.04,0.778,0.0,0.0,1.826,0.0
2.141,1.8,1.57,1.311,2.227,0.881,0.209,0.105,2.168,0.062
1.069,1.06,0.855,0.603,1.985,0.569,0.0,0.0,1.602,0.169
1.892,1.788,1.53,1.062,2.037,0.833,0.327,0.0,2.062,0.0
3.244,3.257,3.077,2.534,2.828,2.098,1.19,0.725,3.061,0.646
3.23,2.885,2.643,2.25,2.476,1.545,0.997,0.637,2.598,0.228
2.564,2.219,1.737,1.37,2.195,0.97,0.234,0.088,2.085,0.0
3.067,2.795,2.422,2.107,2.615,1.611,0.541,0.215,2.521,0.284
2.651,2.595,2.292,1.861,2.408,1.175,0.203,0.08,2.33,0.226
0.749,0.493,0.456,0.3,1.877,0.389,0.0,0.0,1.229,0.0
0.99,0.628,0.498,0.52,2.114,0.416,0.11,0.036,1.55,0.0
1.175,1.216,0.782,0.687,1.835,0.543,0.331,0.288,1.514,0.094
1.017,0.849,0.504,0.375,1.871,0.315,0.465,0.323,1.192,0.107
3.188,3.235,2.921,2.64,2.469,1.988,0.853,0.521,2.859,0.686
2.48,2.391,2.192,1.74,2.347,1.215,0.196,0.189,2.482,0.087
2.228,1.946,1.516,1.383,2.016,1.229,0.616,0.368,1.948,0.057
3.24,2.987,2.861,2.569,2.849,2.038,0.885,0.429,2.872,0.534
3.46,3.363,3.053,2.667,2.866,2.227,1.217,0.651,3.148,0.38
2.348,2.353,2.042,1.928,2.447,1.508,0.802,0.602,2.436,0.613
1.076,0.939,0.668,0.598,1.855,0.362,0.002,0.06,1.348,0.044
3.083,2.51,2.161,1.865,2.381,1.308,0.361,0.141,2.122,0.008
3.53,3.36,3.214,3.043,3.153,2.606,1.223,0.635,2.991,1.165
3.366,3.074,2.853,2.301,2.753,1.844,0.775,0.474,2.741,0.572
3.079,2.918,2.642,2.319,2.61,1.81,1.051,0.747,2.536,0.439
2.414,2.509,2.038,1.811,2.4,1.462,0.253,0.229,2.177,0.416
2.378,2.294,1.929,1.636,2.271,1.15,0.285,0.177,2.084,0.318
3.109,2.855,2.324,2.2,2.567,1.731,0.998,0.22,2.562,0.455
3.026,2.918,2.814,2.34,2.637,1.499,0.549,0.406,2.708,0.213
3.222,3.001,2.686,2.403,2.737,2.241,0.794,0.505,2.413,0.78
2.042,2.193,1.602,1.533,2.09,1.407,0.382,0.266,2.129,0.32
2.487,2.561,2.208,1.962,2.31,1.296,0.392,0.113,2.08,0.233
2.612,2.31,1.981,1.724,2.156,1.345,0.976,0.717,2.08,0.171
2.956,2.832,2.591,2.174,2.476,1.533,0.695,0.566,2.656,0.406
1.867,2.085,1.78,1.823,2.512,1.336,0.434,0.136,2.092,0.495
1.66,1.499,1.127,1.047,2.282,0.935,0.472,0.315,1.86,0.161
2.397,2.051,1.593,1.654,2.36,1.225,0.587,0.325,1.856,0.245
2.954,2.826,2.648,2.248,2.662,1.64,0.509,0.345,2.569,0.161
2.313,1.79,1.361,1.259,2.01,0.886,0.0,0.0,1.672,0.0
2.674,2.252,1.998,1.58,2.424,1.431,1.134,0.845,2.314,0.414
3.17,2.836,2.472,2.115,2.785,2.025,1.231,0.986,2.647,0.641
2.509,2.348,2.077,1.715,2.385,1.281,0.836,0.511,2.498,0.049
2.504,2.158,1.782,1.495,2.179,1.165,0.0,0.0,2.035,0.295
1.521,1.304,1.046,0.952,1.836,0.794,0.0,0.0,1.563,0.008
2.459,2.389,2.201,1.912,2.326,1.481,0.611,0.119,2.313,0.55
2.892,2.948,2.753,2.508,2.602,1.916,0.831,0.472,2.639,0.88
2.613,2.219,1.929,1.645,2.147,1.129,0.0,0.0,2.099,0.0
1.52,1.548,1.465,1.261,2.084,0.887,0.042,0.03,1.643,0.254
3.105,2.776,2.548,2.018,2.543,1.646,1.048,0.795,2.664,0.481
1.805,1.543,1.073,0.769,1.975,0.49,0.148,0.198,1.803,0.169
1.289,1.252,1.073,0.783,2.072,0.619,0.18,0.0,1.577,0.189
2.824,2.571,2.241,1.774,2.629,1.527,0.744,0.583,2.43,0.293
3.144,2.768,2.314,1.904,2.599,1.668,1.073,0.706,2.384,0.295
