sense,honor,curse,despise,situation,antihuman,roughness,slaughter,strike_support,depression_rate
3.182,2.869,2.872,2.454,2.591,2.068,0.778,0.35,2.58,0.884
2.762,2.597,2.345,1.828,2.331,1.389,0.916,0.824,2.522,0.51
1.892,1.801,1.911,1.617,2.137,1.317,0.413,0.142,2.215,0.192
3.317,3.076,2.927,2.431,2.582,1.696,0.952,1.008,2.959,0.399
2.415,1.83,1.567,1.351,2.166,0.86,0.861,0.653,1.778,0.242
3.307,3.402,3.119,2.575,2.95,2.178,2.045,1.83,3.421,0.351
2.463,2.366,1.913,1.59,2.208,1.095,0.356,0.204,1.855,0.144
1.716,1.703,1.02,0.654,2.041,0.778,0.263,0.061,1.639,0.098
2.888,2.708,2.148,2.35,2.498,1.791,0.699,0.788,2.475,0.366
2.417,2.189,1.939,1.498,2.318,1.039,0.4,0.506,1.993,0.172
3.039,2.618,1.979,1.658,2.401,1.062,0.262,0.167,2.11,0.387
1.303,1.218,0.593,0.495,2.109,0.54,0.367,0.016,1.39,0.138
3.254,3.312,2.871,2.698,3.087,2.202,0.739,0.333,2.775,0.417
2.601,2.674,2.419,1.953,2.54,1.489,0.382,0.368,2.341,0.118
0.602,0.885,0.241,0.287,1.56,0.554,0.192,0.317,1.331,0.124
2.983,3.01,2.565,2.087,2.702,1.764,0.543,0.533,2.653,0.277
3.3,2.797,2.761,2.4,2.699,2.433,0.62,0.257,2.582,0.358
3.156,2.99,3.196,2.305,2.747,1.844,0.551,0.351,2.72,0.569
2.56,2.249,1.693,1.946,2.308,1.175,0.255,0.181,2.436,0.126
2.646,2.578,2.309,1.881,2.289,1.301,0.321,0.077,2.428,0.327
1.376,1.688,1.609,1.642,2.122,0.819,0.688,0.563,2.284,0.21
2.968,2.654,2.402,1.894,2.524,1.612,0.917,0.384,2.371,0.342
1.317,1.12,0.924,0.924,2.113,0.795,0.0,0.124,1.01,0.073
3.379,2.914,2.673,1.97,2.703,1.91,2.428,1.528,2.548,0.328
1.976,1.705,1.514,1.132,2.037,1.157,0.564,0.357,2.145,0.034
2.061,1.736,1.435,1.282,2.131,1.352,0.562,0.365,1.868,0.093
3.405,3.082,2.564,2.128,2.906,1.732,0.503,0.201,2.649,0.288
2.813,2.534,2.511,1.824,2.475,1.684,0.613,0.265,2.128,0.377
2.471,2.524,2.502,1.717,2.403,1.392,0.493,0.08,2.348,0.272
3.419,3.027,2.779,2.791,2.644,1.887,1.115,0.552,2.556,0.637
3.151,2.897,2.963,2.32,2.686,1.836,0.516,0.538,2.882,0.821
1.151,1.491,0.916,0.661,2.017,0.319,0.31,0.257,1.836,0.111
